filepath,layer,language,frequency
5shot_arabic_czech_predictions.csv,1,ces,1000.0
5shot_arabic_czech_predictions.csv,1,ara,0.0
5shot_arabic_czech_predictions.csv,2,ces,148.4509000000001
5shot_arabic_czech_predictions.csv,2,eng,0.032900000000000006
5shot_arabic_czech_predictions.csv,2,ara,0.0018
5shot_arabic_czech_predictions.csv,3,ces,16.900599999999983
5shot_arabic_czech_predictions.csv,3,eng,2.709899999999998
5shot_arabic_czech_predictions.csv,4,ces,6.837399999999987
5shot_arabic_czech_predictions.csv,4,ara,0.0013
5shot_arabic_czech_predictions.csv,4,eng,0.03609999999999999
5shot_arabic_czech_predictions.csv,6,ces,5.775099999999991
5shot_arabic_czech_predictions.csv,6,eng,1.4386999999999996
5shot_arabic_czech_predictions.csv,7,ces,0.6297999999999992
5shot_arabic_czech_predictions.csv,7,eng,0.5029000000000008
5shot_arabic_czech_predictions.csv,7,ara,0.049300000000000004
5shot_arabic_czech_predictions.csv,8,eng,3.636799999999988
5shot_arabic_czech_predictions.csv,8,ces,0.28260000000000013
5shot_arabic_czech_predictions.csv,8,ara,0.0013
5shot_arabic_czech_predictions.csv,9,ces,0.5935999999999994
5shot_arabic_czech_predictions.csv,9,eng,0.09219999999999996
5shot_arabic_czech_predictions.csv,9,ara,0.0025
5shot_arabic_czech_predictions.csv,10,eng,1.9458000000000122
5shot_arabic_czech_predictions.csv,10,ces,1.4690000000000056
5shot_arabic_czech_predictions.csv,10,ara,0.0869
5shot_arabic_czech_predictions.csv,11,eng,3.7934999999999803
5shot_arabic_czech_predictions.csv,11,ces,5.001399999999979
5shot_arabic_czech_predictions.csv,11,ara,0.0031000000000000003
5shot_arabic_czech_predictions.csv,12,eng,0.4884999999999999
5shot_arabic_czech_predictions.csv,12,ces,1.449400000000009
5shot_arabic_czech_predictions.csv,12,ara,0.5476999999999997
5shot_arabic_czech_predictions.csv,13,eng,1.6874000000000078
5shot_arabic_czech_predictions.csv,13,ces,1.6335000000000082
5shot_arabic_czech_predictions.csv,13,ara,0.0216
5shot_arabic_czech_predictions.csv,14,ces,1.7198000000000064
5shot_arabic_czech_predictions.csv,14,eng,0.9145999999999983
5shot_arabic_czech_predictions.csv,14,ara,0.06009999999999999
5shot_arabic_czech_predictions.csv,15,ces,3.0369
5shot_arabic_czech_predictions.csv,15,eng,5.999199999999992
5shot_arabic_czech_predictions.csv,15,ara,0.0461
5shot_arabic_czech_predictions.csv,16,ces,2.8448999999999978
5shot_arabic_czech_predictions.csv,16,eng,59.95220000000001
5shot_arabic_czech_predictions.csv,16,ara,0.0814
5shot_arabic_czech_predictions.csv,17,eng,100.7339
5shot_arabic_czech_predictions.csv,17,ces,3.708999999999999
5shot_arabic_czech_predictions.csv,17,ara,0.054400000000000004
5shot_arabic_czech_predictions.csv,18,eng,163.3488999999994
5shot_arabic_czech_predictions.csv,18,ces,3.1771999999999987
5shot_arabic_czech_predictions.csv,18,ara,0.0456
